U	10000	0
U	100188	0
U	100212	0
U	100225	0
U	100290	0
U	100315	0
C	100450	2662293
C	100499	2070185
C	100553	2724180
U	100582	0
U	100643	0
U	100665	0
U	100724	0
C	10076	10239
U	1007|provirus_123348_144726	0
C	100844	2788787
U	100847	0
U	100869	0
U	100935	0
C	100961	28289
C	100991	2070187
C	101034|provirus_32342_65693	2070184
U	101040	0
U	101053	0
U	101066	0
U	101073	0
U	10110	0
C	101159	2813288
C	10116|provirus_3_89072	2731619
C	101178	1094892
U	10127	0
C	101398	2070188
C	101409	1
C	10143|provirus_68618_125763	2731360
C	101453	1530085
U	101508	0
C	101518	2772064
U	101520	0
U	101532	0
C	101895|provirus_21725_56804	2419611
U	101946	0
U	101985	0
C	101993	558016
C	10201	2731619
C	102107|provirus_96_11870	1636271
U	102112	0
U	102141	0
U	10218|provirus_14734_36112	0
U	102291	0
U	10230	0
U	102413	0
U	102417	0
U	102559|provirus_2_7398	0
U	102779	0
C	102858	455364
U	10292	0
U	103083	0
C	103089	157924
C	103160	1567013
C	103214	10239
U	103219|provirus_1_8353	0
U	103262	0
U	103343	0
U	103354	0
U	103356	0
C	10339	1623284
C	103588	2927284
U	103644	0
U	103726	0
C	10375|provirus_3_14361	2560161
U	103838	0
C	103840	2070188
C	103883	2968613
U	104066|provirus_72_7918	0
U	104074	0
C	104089	2946836
U	10408|provirus_101378_111291	0
C	104107	2781608
U	104125	0
C	104151	2731619
C	104166	2070188
U	104181	0
C	104186	2731619
U	104192	0
C	104206	2942967
C	104279	2788787
U	104433	0
C	104458	2070187
C	104486	12657
C	1044|provirus_106_12232	2946160
C	104614	2169536
C	104747|provirus_91143_128176	2283015
U	10478	0
U	104864	0
C	104955	396359
C	105013	2575323
U	105045	0
U	105046	0
U	105047	0
C	105064|provirus_103655_123338	1094892
C	10519	857312
U	105333	0
C	105364|provirus_142249_191544	2283015
U	105435	0
U	105444	0
U	105447	0
U	105485	0
U	105493	0
C	105514	1327037
C	105523|provirus_3_22862	2788787
U	105545	0
U	105599	0
C	105630	2070187
C	105632	2731619
C	105656	1168281
U	1057	0
C	105711	57477
C	105784	2731619
C	105990	396359
U	106001	0
U	106037	0
U	106056	0
C	10613	1247
U	106296	0
C	10630	2070188
U	106361	0
U	106372	0
U	106449	0
C	106462	2070188
U	106577	0
C	10665	2946167
C	106682|provirus_44027_68582	2869553
C	10670|provirus_1_47242	2936814
U	106758	0
U	106770	0
U	106797	0
U	106836	0
C	10684	1327037
C	107024|provirus_76890_108350	2936814
U	107134	0
U	10729	0
U	107294	0
C	107364	3060017
U	10751	0
C	107531	396359
U	107577	0
C	107612	760939
U	107623	0
U	107625	0
U	107656	0
U	107720	0
U	107730	0
U	107735	0
U	107751	0
C	107754|provirus_21282_43294	1195378
U	107834	0
U	108051	0
U	108070	0
U	108078|provirus_22877_30350	0
U	108231	0
U	108260	0
U	10828	0
C	108300	2788787
C	10838	2070181
U	108408	0
C	108472	989895
U	108496	0
C	108541|provirus_1_28955	2169536
U	108553	0
U	10856	0
U	108561	0
C	108608	2772064
C	108637	1493513
U	10873|provirus_36865_58648	0
C	108752	1623305
U	108762	0
C	108763	396359
C	108804	1247
U	108828	0
U	108883	0
U	108884	0
U	108905	0
C	10891	2788787
