U	100069	0
U	100173	0
C	100232	396359
U	100320	0
U	100336	0
U	100409	0
C	100485	2710495
U	100494	0
C	10051	1126885
C	100560	1305708
U	100568	0
U	100573|provirus_10831_14996	0
U	100619	0
U	100631	0
U	100641	0
U	100663	0
U	10068	0
C	100689|provirus_55_96245	2731619
U	100729|provirus_65_4606	0
C	10074	2731619
C	100762	1675317
C	100771	1552735
U	100819	0
C	100934	2059850
C	100986	2070186
U	101000	0
U	101207	0
C	10121	2070188
U	101238	0
C	101302	2126985
C	101320	2731619
U	101321	0
C	10142	2590895
U	101436	0
C	101443	2772071
U	101450	0
C	101541	1567012
U	10155	0
C	101895|provirus_1_29386	10372
C	101936	2099444
C	101970	2731619
C	102048	2710495
C	10205	1815631
U	102071	0
C	102120|provirus_61394_98780	2731619
C	102237	12336
U	102292	0
U	10245	0
C	10246	10239
U	102515	0
U	102539	0
U	102558	0
C	10263	2713276
U	102731	0
C	102852	1198137
U	102855	0
C	102901	2731942
U	10291	0
U	102957	0
U	10298	0
C	102991	2070183
C	103	1927020
U	103019|provirus_19573_41654	0
U	103041	0
U	103056	0
C	103060|provirus_2_30838	10239
U	103138|provirus_23136_43461	0
U	103165	0
U	103183	0
U	103191	0
C	103212|provirus_2_26491	2340716
C	103216	2041354
U	103331	0
U	103353	0
C	103370	1567014
C	10338	1137745
C	103386|provirus_23255_34027	2731619
C	103386|provirus_64268_71761	1792245
U	103397	0
C	103476	10239
U	103518|provirus_151_18015	0
C	103522	2083300
C	103541	10372
U	103548	0
U	103589	0
C	103724	2340716
U	103757	0
U	103899	0
U	10392	0
U	103935	0
U	104001	0
C	104047	2419963
U	104139|provirus_102_96680	0
C	104139|provirus_104907_167913	2591411
U	104174	0
U	104225	0
U	104288	0
C	1043	2986394
U	104319	0
U	104359	0
U	104367	0
U	104402	0
U	104429	0
C	10444|provirus_13429_38300	1070315
C	104489	10239
C	104510	10372
C	104535	2710495
C	104670	1552735
U	104778	0
U	104783	0
U	104797	0
U	104809	0
C	10487|provirus_25230_55253	1815631
U	10496	0
C	104|provirus_217_26849	1873341
U	105129	0
U	105153	0
C	105176	2731619
C	105314	2881399
C	105401	2710495
U	10543	0
U	105433	0
U	105450|provirus_19527_36172	0
C	105450|provirus_67057_109983	2596966
C	105464	2843477
C	10551|provirus_3_30587	447909
U	10552	0
U	105522|provirus_18931_31380	0
U	105524	0
U	105530	0
U	10555	0
C	105680	2070185
C	105849|provirus_3_14670	2731619
U	10585	0
C	105855	2731619
U	105874	0
U	105905	0
U	10593	0
U	105940	0
U	10596	0
U	10597	0
U	105990	0
C	105993	2731619
C	10603	2070188
U	10608	0
C	10609|provirus_17023_57520	2788787
U	106172	0
U	106235	0
U	106280	0
U	10634	0
U	106428	0
U	106488	0
U	106510	0
C	106542	2653271
C	106615	2044561
U	106619	0
C	106730	2182360
U	106838	0
U	106851	0
U	10699	0
U	107084	0
U	10714|provirus_7721_12838	0
C	107171	2731619
U	107203	0
C	107216	2731619
C	107236	1916107
C	107282	1916107
U	107299	0
C	107348	1349410
C	107351	2731619
U	107368	0
C	107412	10295
U	10749	0
U	107520	0
U	107521	0
U	107522	0
C	10757	756282
U	107612	0
C	107699	2948610
U	107705	0
U	107732	0
C	107797	2788787
C	107918	10239
C	107920	396359
U	107935	0
U	107966	0
U	107981	0
C	108066	1572745
C	108091	2070185
U	10817	0
U	10822	0
U	108249	0
U	108268	0
C	10827|provirus_3_136903	10239
U	108287	0
U	10833	0
C	108417|provirus_22_15658	2948645
C	108451	2070185
C	108496	396359
U	108500	0
U	108562	0
U	108575	0
C	108584	994601
C	108690|provirus_2_23638	12402
C	108775	113370
C	10885|provirus_2_16315	1305708
C	108872	1873341
U	108898	0
U	108927	0
U	10899	0
U	109036	0
C	109078	2340716
C	109127	2731619
U	109146	0
C	10921	2731619
U	109215	0
U	109229	0
U	109235	0
U	10928	0
U	109289	0
U	109407	0
U	109421	0
U	109429	0
U	109597	0
U	109632	0
C	10964	1567011
C	109648	2927268
U	109703	0
C	109777	2725616
U	109812	0
U	109836|provirus_2_10626	0
U	109892	0
U	109915	0
C	109948|provirus_1_27686	2885983
U	109973	0
U	109982	0
C	110019|provirus_29649_40139	2283015
U	110178	0
C	110207|provirus_53824_100167	2731619
U	110208	0
U	110239	0
C	11032|provirus_23666_59978	2731619
U	110350|provirus_38152_64832	0
U	110366	0
U	110385	0
U	110438	0
U	110544	0
U	110613	0
U	110623	0
U	110677	0
C	11070	1914852
U	110717	0
U	11077	0
U	11080	0
U	110807	0
U	110815	0
U	110975	0
U	11097|provirus_3_7080	0
C	111049|provirus_62802_73292	2283015
C	111149|provirus_13429_31304	1070315
U	111153	0
C	111264	1916107
C	111280	2942969
U	11129	0
U	111317	0
U	111433	0
U	11147	0
U	111476	0
C	111516	2083300
U	111517	0
U	111545	0
C	11156	1916107
C	11162	2070188
U	111693	0
C	111815	10239
U	111819	0
U	111899|provirus_20401_37046	0
U	11189|provirus_3_11231	0
U	11190	0
C	111904	1887650
C	11195	12336
U	112005	0
C	112034	2788787
C	112140	10239
U	112192	0
U	112215	0
C	112240	1916107
U	11230|provirus_32964_43769	0
C	112347	2731619
U	112371	0
U	112424	0
C	112487	2884420
C	112596	936152
C	112598	2732969
U	11264|provirus_31568_51346	0
U	1127	0
U	112755	0
U	11280	0
U	112805	0
U	112874	0
C	112886	2283015
U	112922	0
U	112946	0
C	112969	2283015
U	11301	0
U	113040	0
U	113085	0
C	113192	2731619
U	113235	0
U	113238	0
U	113251	0
U	113286	0
U	113324	0
U	113491	0
C	113533	12336
C	113619	2927268
U	113665|provirus_3045_22947	0
C	113763	10372
U	11378	0
U	113800	0
U	113853|provirus_33247_50988	0
C	113940	2070186
C	11395|provirus_23444_54256	2283270
U	114025	0
U	11409|provirus_35_4576	0
U	114127	0
U	11415	0
C	114174	396359
C	11421|provirus_1_15566	2109587
C	114241	423476
U	114267	0
U	114371	0
U	114433	0
U	11444	0
U	114483	0
U	114547	0
U	11467	0
U	114732	0
C	114785	871584
C	114786|provirus_89302_133818	2530023
U	114802	0
C	114820	2948775
C	114883	2788787
U	114904	0
C	114905	2731619
U	115016|provirus_3_72611	0
C	115022	1792245
U	115030	0
U	115038	0
U	11508	0
U	115115	0
C	11515	2932878
C	115165|provirus_3_46982	2731619
C	115287|provirus_1_15921	2109587
C	115298|provirus_714_19417	10239
C	115399	2731619
U	115402	0
U	11541	0
U	115441	0
U	11562	0
C	115678	396359
C	115810	2070186
U	115847	0
C	115908	2419963
U	11601	0
U	116026	0
C	116029|provirus_2_37123	2731619
C	116045	10239
C	116046	10239
C	116133	1567012
C	116263|provirus_1_14034	2731619
C	116263|provirus_116689_141349	2731619
U	116263|provirus_22261_108462	0
C	116362|provirus_9805_13381	2070188
U	116364	0
C	116424	3044648
U	116445	0
C	116630|provirus_34967_120611	2884420
U	116645	0
C	116680	2070181
U	116703	0
C	116777	1126885
C	116793	2724180
U	116801	0
C	116953	396359
U	116988	0
U	116995	0
C	117006	2874884
U	117023	0
C	117035	2283015
U	117143	0
C	117171	2340716
C	1172	2070186
C	11722|provirus_31983_72448	2745699
C	117271	2182360
C	117290	1572712
C	117320	12402
U	117359	0
U	117360	0
U	117365	0
U	117387|provirus_12_7761	0
U	117398	0
U	117540|provirus_2_21000	0
C	117596|provirus_1_17747	2731619
U	117601	0
U	117611	0
U	117618	0
C	11761|provirus_34_21273	2731619
C	117702|provirus_714_19197	2731619
U	117717	0
C	117805	2070187
U	117810	0
U	117853	0
U	1179	0
U	117920	0
C	117932	2731619
U	117963	0
U	1180	0
U	118007	0
U	118092	0
U	118137	0
U	118167	0
U	118180	0
U	118299	0
U	118306	0
C	118326	2070185
C	118389	936152
U	118461|provirus_7880_91046	0
C	118461|provirus_99273_153234	2951390
C	118555	10239
U	11856	0
U	118561	0
U	118596	0
C	11859|provirus_23444_54140	2283270
U	118615	0
C	11862	10239
